City_number,Ancient.To,Jan_N_CT_mean,Jan_E_CT_mean,Jan_S_CT_mean,Jan_W_CT_mean,Feb_N_CT_mean,Feb_E_CT_mean,Feb_S_CT_mean,Feb_W_CT_mean,Mar_N_CT_mean,Mar_E_CT_mean,Mar_S_CT_mean,Mar_W_CT_mean,Apr_N_CT_mean,Apr_E_CT_mean,Apr_S_CT_mean,Apr_W_CT_mean,May_N_CT_mean,May_E_CT_mean,May_S_CT_mean,May_W_CT_mean,Jun_N_CT_mean,Jun_E_CT_mean,Jun_S_CT_mean,Jun_W_CT_mean,Jul_N_CT_mean,Jul_E_CT_mean,Jul_S_CT_mean,Jul_W_CT_mean,Aug_N_CT_mean,Aug_E_CT_mean,Aug_S_CT_mean,Aug_W_CT_mean,Sep_N_CT_mean,Sep_E_CT_mean,Sep_S_CT_mean,Sep_W_CT_mean,Oct_N_CT_mean,Oct_E_CT_mean,Oct_S_CT_mean,Oct_W_CT_mean,Nov_N_CT_mean,Nov_E_CT_mean,Nov_S_CT_mean,Nov_W_CT_mean,Dec_N_CT_mean,Dec_E_CT_mean,Dec_S_CT_mean,Dec_W_CT_mean
87,Forum Livii,1.566563624663641,1.6592336207694922,1.2105051364407975,0.3627692823708724,1.4227617677692863,1.664544043124922,1.0956519300772307,0.4461684958380074,1.0460504629467955,1.0351168541300215,1.4500187064710612,0.3749168861232348,1.1144764834069032,1.4860047267320706,1.494722569815531,0.3734384711156756,1.1460635576738871,1.2091848631566535,1.1722104741422923,0.35859664594567064,1.1758392867892646,1.1915635323897835,1.3641409351255005,0.3690372652122105,0.8834339398932404,1.9198095070435697,1.48918520604204,0.28677024250595895,0.8044804812011036,1.1129828758154403,1.478519219946808,0.37787870346033064,0.7628179688581684,1.67267869036203,1.69727167613821,0.30401675739811035,0.9651182981945524,1.685616555896648,1.6235588692978724,0.30710181473885606,0.7981570407048167,1.7428974798595078,1.577931361977153,0.3448141843280536,1.4505296052168946,1.6202364906635327,1.1682851765246467,0.3548104375667487
88,Faventia,1.4509184205130246,1.6669845013136275,1.279069427961714,0.3463197081946255,1.3336730089080469,1.7014386364583218,1.1921085786283685,0.4451527195030384,1.0181928682863042,1.152446930595998,1.43307998207178,0.3692950840076704,1.0415986144140863,1.576821494906136,1.5383242955368557,0.35355971864100255,1.133392645535844,1.3620193192128385,1.2427979697002454,0.3524592197343205,1.1354379182451226,1.2834907593352072,1.3747702448555592,0.36856351447909064,0.8673502025979288,1.909057683623239,1.5223393756352115,0.3079487778497546,0.8125044403451213,1.228642652275857,1.5005256173316013,0.368976552499814,0.7487643677197146,1.722179250502854,1.675641478313489,0.31701827256867054,0.9079507274574108,1.7041622373495209,1.6251888087626254,0.3119564406657487,0.7845508580797174,1.7703320588958398,1.5775706197438617,0.3557229924068022,1.3635337789406936,1.660905916771192,1.2332400051395545,0.3568376498275928
89,Forum Cornelii,1.3165679073759489,1.7064340859651566,1.29879919412945,0.3433027686551213,1.215580585279635,1.7443827111274004,1.2591382177280528,0.4474257937898593,0.9642304473423532,1.2971821587000574,1.3830316484506642,0.3671266962774098,0.9502502693129438,1.6649423579552345,1.5301702820828982,0.34406467653544887,1.070331763210041,1.5046729378934418,1.2851932714028018,0.35056996239083155,1.0702165399811097,1.4020549053592342,1.360860952575292,0.37282776380223887,0.8263127197112355,1.930927564789142,1.504043162135141,0.31675298059625284,0.7944538038490074,1.3743071949907713,1.475312789902091,0.363247374139194,0.7270820684997099,1.7750571370124817,1.5954163002648525,0.340532381752772,0.844546118218984,1.74802120482283,1.5743192841431923,0.3299184934502201,0.7590377596872193,1.8054944588137525,1.5349689227129732,0.3643653506546149,1.2454760077276401,1.713742160903556,1.2716492845543794,0.3625447681572821
90,Claterna,1.2166656575128103,1.7549365237689338,1.3558947981205756,0.3404614957124663,1.1178230615207432,1.780666595349932,1.3568550578147307,0.44082730707833584,0.9366008003196374,1.4845845496173398,1.40802281974677,0.3562950557390136,0.8880119886366241,1.750800098806219,1.5446468335096075,0.33381442688906676,1.0217007117955674,1.6580171245630546,1.363445152616287,0.34118421783361735,1.0332618620363587,1.5529443461264196,1.3979699210735714,0.3719196131812083,0.8153034289588843,1.93571680463483,1.5245954621533109,0.32030823055003255,0.7912916030584429,1.5565337442496432,1.499068410139982,0.3492252076286906,0.7382894358827394,1.814196909489653,1.5585522491301125,0.3627740326483688,0.8168741564846894,1.7904000691234263,1.5569837480917106,0.35139404631516324,0.7622745455380513,1.8286899673029984,1.5314921763445764,0.3776392077383974,1.147871965383735,1.7676054009407625,1.3518875852026746,0.36238833586998587
91,Bononia,1.1331344366342098,1.8069949050744376,1.382271602481335,0.34052719504715084,1.0385299863310549,1.8255741102201444,1.3943654284015432,0.43852705454772656,0.8921894037777239,1.594896362440006,1.4209934730787537,0.3521271635283221,0.8361566550022846,1.8134323535738768,1.542167109412116,0.33186660237140486,0.9654386573815132,1.7469860712687175,1.3938165434577443,0.33783201611525304,0.9800611017523584,1.647264464481457,1.414597157556731,0.37257501825287537,0.7847058824053755,1.963251382112503,1.5254783571303427,0.33146679783995087,0.7824786145676363,1.6612821508635272,1.5014912323640273,0.34394419159706646,0.7402156820302611,1.857910978364515,1.517186707473016,0.37150451520810257,0.7814789858755765,1.8372901957314296,1.544702199128297,0.3613472319132573,0.7485805772714786,1.867183111540906,1.5234987950539804,0.3897501729630135,1.0670553546499562,1.8196379539665877,1.384643062412202,0.3628050934624027
92,Mutina,1.0709143056956405,1.947274694138616,1.4762516651718385,0.3419079963873079,0.9767089672132072,1.9389654235036065,1.4905032842740382,0.4351300369091078,0.875326343983887,1.8974588615204588,1.5028812945024843,0.34323949409237214,0.8173316954751764,1.9670962765982591,1.5673173956556037,0.3324384758575631,0.929162841315693,1.983508867663512,1.4857258905310835,0.3313202949618424,0.9541665420173784,1.878517153865927,1.496450460038587,0.3788792080243791,0.791881908995687,2.0393620474191896,1.56509847765903,0.36212068884410725,0.7765614963338152,1.915299723251534,1.5512144364637233,0.33285683461365234,0.7570399185791102,1.9653025425648092,1.5458701745795769,0.3925124747606507,0.7843976812373533,1.9524408201421857,1.563357239703654,0.3907239506347848,0.7590459477928614,1.964228257774492,1.5539808756669724,0.4221929181409588,1.0032535365067743,1.9546461822231704,1.483698640162961,0.36601337016579233
93,Ravenna,1.5294363324561815,1.6973143392734311,1.4448015872012363,0.3346408358450686,1.4039831782994645,1.8247329280617532,1.1446721813651952,0.48092894808629927,1.0615185100041078,0.9080548642726428,1.4008492697490735,0.3884915742311585,1.1170454711056828,1.6728801317429274,1.6852519016587333,0.3465525312370129,1.2845994968092844,1.479759478569031,1.2028118709499915,0.3633150560132573,1.1254548504111472,1.0013647228144529,1.3637449283278391,0.3799580380487978,0.9366913676261902,1.9102971543087048,1.641232679934984,0.3672739467594061,0.8613474344939328,0.8814157973514514,1.4364931441424935,0.40289914969647866,0.6663031825858555,1.8420419679598865,1.7911555986725882,0.31086348121085866,0.8977175247803163,1.680230487866348,1.8664650097321929,0.28663327051012705,0.7182173059227761,1.9191670567801828,1.661859721548102,0.37705767469459706,1.4331742921572053,1.7141870313815857,1.1993129269460614,0.3676133139749591
94,Adria,1.069908807630496,1.9317602405633627,1.2750642524171838,0.40308503111648986,0.9266767221181382,1.8492957888162724,1.4601641377526011,0.4794882164407739,0.9541014362076472,1.865442692431634,1.2578735963646073,0.37371822229415314,0.6352510390794865,2.209529710992035,1.5573881856529168,0.30637665380276907,1.1138730126646068,2.2193376622392456,1.2941515889402997,0.35312700585666795,1.0834790003139343,2.0793690692148936,1.2741504669724024,0.40535986964745374,0.7365658197702314,2.1171689332867953,1.6459057160022548,0.5210136493225269,0.7747057284742193,2.405566610562962,1.6055997174416956,0.331283562186053,0.7751997278944793,1.9873199104728183,1.3761040429363336,0.510621248005217,0.7097540283951524,1.9673406444322905,1.4750388673602732,0.4630348947016113,0.7529510146032,1.9524664373675804,1.4466391534548704,0.5501949604049392,0.993186863815838,1.9627797090419208,1.377785344829474,0.42137915123203945
95,Ateste,0.8845541810881742,1.9809271939452024,1.3262911140245992,0.3630835419651079,0.7931023158015301,1.8664556537201928,1.4065877078080016,0.4496872686101944,0.7827101367321833,2.292087404238182,1.2130634668987437,0.34068059652169186,0.6602491317295867,2.100715891502243,1.28213783486433,0.33652915844260706,0.8492698843000167,2.341687716964136,1.3227064750802706,0.3379090069446284,0.8580581099131307,2.0664255314971203,1.2606030944776858,0.4086239348012222,0.7016227929506021,2.0457546062447953,1.2877020841258373,0.4695133561474475,0.7197892028779531,2.2713340345946715,1.2296037793697676,0.3151311837725392,0.7362059441565391,1.956911309847175,1.1509989442190252,0.45362004691537294,0.6897513365234264,1.9487989882583272,1.2223516573486155,0.4712419088080559,0.7198223170254623,1.9148292517285317,1.2015666395223974,0.5200705795336523,0.8316305548827212,1.9740868478542528,1.3354633083192813,0.3933740960556013
96,Urbana,0.9234083483235292,2.1121105157494813,1.3622306313525474,0.37371348029603807,0.836683772622059,2.015011991119815,1.4224195138595443,0.4677833821246102,0.8109760051656254,2.407568297590682,1.279700520614469,0.3552596672663032,0.7038210439359093,2.192259022129309,1.3381073835471953,0.3545458769556093,0.8732500470518797,2.4410557536992745,1.3667543268096096,0.34810814005795776,0.8767110207549067,2.1673323575314765,1.3166111008039176,0.4249295177228295,0.7297178792092386,2.1672883555797635,1.3156317117251877,0.46761373075620855,0.7386941187268724,2.319166193697307,1.2770745458236936,0.33523326493278316,0.7255559969970927,2.0722153418220195,1.2245674421232926,0.4687297061657529,0.7154327411683903,2.0605703562699915,1.2953994214938402,0.485648914801617,0.7276128822470895,2.042172064899591,1.2740743254431215,0.5315054135720833,0.8696075742454615,2.1079603926053703,1.3707333157347772,0.4062131453582988
97,Verona,0.6099849380636109,2.1076350092087814,1.1515819287673472,0.33304148932431366,0.5643271703848103,2.0204046631286077,1.1653564952363904,0.4200170432827883,0.5616536367126226,2.435451094202814,1.081098599988609,0.3175699739514848,0.524156175403787,2.1283814128346625,1.0771739890911436,0.3304886235886772,0.5841033876742292,2.3954492895395165,1.1472889859671027,0.3098609116120093,0.5840224823695701,2.1526491868682625,1.1116040903716546,0.3888580812437156,0.53731769610038,2.110307471064113,1.0509237143017305,0.4107982513621883,0.539325572900324,2.239641228244875,1.0413226734605143,0.30531994215060665,0.5405572960840775,2.032840230854299,1.029498464842504,0.4215388527385874,0.5283086381902631,2.0254978288206744,1.0651480999568963,0.44589361488419094,0.5347686315276212,2.016187577172947,1.0548190482510815,0.4785364216872776,0.5771107701647201,2.098477754816913,1.1437251482500592,0.3646884067879961
98,Vicetia,0.8346328550093883,2.0163218438088357,1.2661105195681257,0.3560520324621115,0.7719737059092736,1.8517585643776904,1.2795064578185211,0.4465197109290072,0.8092147075646633,2.720709241188324,1.1313356460483224,0.32705020159482956,0.762742025760917,2.0144956227358395,1.1672470165534063,0.36895260651100864,0.8312856463698653,2.5469540814021685,1.2525857085580223,0.3216543819855999,0.8219518022494273,2.145900176720576,1.1920441065554146,0.43481785105960863,0.7994073423984889,1.9474847649668787,1.159635433742592,0.4802403190919945,0.8083988859041317,2.259300126954242,1.1334581443586864,0.31555363394924113,0.813900142639607,1.842501365386688,1.1056754779708278,0.4807999274349427,0.7841659723906904,1.8380740056703757,1.1387945594819815,0.5347498213654166,0.8046567550113609,1.8172867698175412,1.1165892147534602,0.5646572595646789,0.7911936301100362,1.9913134848749316,1.2452479286773783,0.3970680152913472
99,Patavium,0.9759351529063276,1.9901289401689448,1.3800102332375657,0.37333749661865406,0.8638784399689186,1.7868142943349972,1.448100120703738,0.45598676114534414,0.88751468970598,2.805867880784631,1.1429000665048985,0.33559117743716016,0.7846156093659842,2.0543275145860074,1.3284084293697005,0.3874368968989456,0.9432960262955176,2.608884198940096,1.364306645253442,0.3397459788731474,0.9593316140347088,2.211343288421631,1.259091329628404,0.4429928289041024,0.847135107484951,1.951798429876633,1.3349500133006351,0.5266963893350037,0.863946194035205,2.377339879761431,1.2500301053238776,0.3148403656805611,0.8866683063065763,1.8550791264118511,1.1634083714495933,0.4971745529508483,0.8322773080647127,1.8571651143360353,1.240096599738162,0.5674642850529259,0.8694985537173786,1.8042577101468504,1.1982759974610997,0.5972633703567642,0.9149860956329794,1.957445463800538,1.3553455626722384,0.4120587757693995
100,Acelum,0.7204295423593414,1.9306642181417917,1.1710952335529112,0.3438152406322822,0.6908678036727263,1.689658627081453,1.1330056197187874,0.4456750959492801,0.790715997272663,3.108996983324544,1.064672460850705,0.3068650030687954,0.8020551058683503,1.785225973504313,1.0256392118636142,0.390659369879894,0.7726013572028514,2.702365337328964,1.1475790938634551,0.296147546038199,0.7366989116990165,2.070868434263079,1.1037530565529727,0.4752728148792567,0.842097892118304,1.6781095108289397,0.9812130479330428,0.4942359636338909,0.852337170718761,2.134873813457703,0.9777990763107044,0.3104756408862853,0.8641507304116581,1.5392517987261998,0.9838550635937894,0.5173969049132272,0.82350029744459,1.538488049319621,1.0124837940998292,0.604770022965549,0.8479496643784341,1.5326928967840217,0.990469614307532,0.6215223607052578,0.69024342666851,1.8800714650850616,1.1340327653992042,0.4019253653756688
101,Tarvisium,0.6737757658374336,2.1300364900007014,1.292708174954013,0.3916197143710801,0.6133609091518717,1.83490744199944,1.3533014210401506,0.5077323733034538,0.8822208670837045,3.9065650815687625,1.1004080806914842,0.33743077456818393,0.956438410919334,1.8205557551840632,1.028149696925701,0.47761129642648,0.8082810608475139,3.244860768583676,1.2484475525556535,0.3161277372083048,0.6811702682871065,2.3584492626062747,1.1865694212223217,0.5724509699572965,1.024537197200121,1.720225847643574,0.8651684391206517,0.5931481805304376,1.0357646777528962,2.318102679433164,0.8917489381038266,0.3616227207576777,1.064940392838289,1.5171009639323687,0.9362792137736468,0.6364426028755035,0.984474051901386,1.5148905005911677,1.0234245835805524,0.7736694632234977,1.0296895757549855,1.5346004028362792,0.937132065306793,0.7758585115052544,0.6168029095919467,2.0687689117440136,1.2296359825771477,0.46914876788389975
102,Altinum,0.5103601361436961,2.1018463215485816,1.4119532308770937,0.40138463134722857,0.3615479072881654,1.8300023522612223,1.558486415666315,0.49301596887977667,0.9243492620408268,4.244173219385703,0.9423374818312212,0.32119939446181994,1.1070565664180192,1.6495278691497084,0.9005141103214213,0.498067681197361,0.7569330520426746,3.444927525092668,1.4222270231610457,0.3071261937040919,0.45615808318281387,2.461053035184407,1.2234935867412209,0.5781615327024674,1.2110771919045211,1.631901930800468,0.5847101779195225,0.6424631100866293,1.210678711600368,2.2723766696292724,0.7123108363205007,0.3683941612863754,1.24912422227218,1.3741155769258335,0.8312851615550807,0.6547042535024908,1.1173139743740783,1.370981318533688,0.9654905099772552,0.8311287778442216,1.1636235019016694,1.3421015413352726,0.8149882076567064,0.8291469696124039,0.4375234444212219,2.0456320386831,1.3476057087359408,0.4703106671037161
